IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.19.40.226,8443,8443,true,DX,Asia Pacific,Tokyo,162.18,16.72
104.19.57.118,8443,8443,true,DX,Asia Pacific,Tokyo,169.26,15.03
104.19.125.2,8443,8443,true,DX,Asia Pacific,Tokyo,158.66,14.26
162.159.244.102,8443,8443,true,DX,Asia Pacific,Tokyo,174.74,14.11
104.19.48.91,8443,8443,true,DX,Asia Pacific,Tokyo,173.92,12.20
104.19.16.168,8443,8443,true,DX,Asia Pacific,Tokyo,162.16,17.02
104.19.75.56,8443,8443,true,DX,Asia Pacific,Tokyo,159.84,15.94
141.101.120.187,8443,8443,true,DX,Asia Pacific,Tokyo,169.82,15.04
104.19.58.11,8443,8443,true,DX,Asia Pacific,Tokyo,166.80,14.91
104.16.124.118,8443,8443,true,DX,Asia Pacific,Tokyo,170.33,13.74
104.19.22.104,8443,8443,true,DX,Asia Pacific,Tokyo,163.21,15.62
104.19.82.232,8443,8443,true,DX,Asia Pacific,Tokyo,162.36,15.59
104.19.9.103,8443,8443,true,DX,Asia Pacific,Tokyo,160.76,15.45
104.16.123.178,8443,8443,true,DX,Asia Pacific,Tokyo,170.96,14.84
104.19.32.239,8443,8443,true,DX,Asia Pacific,Tokyo,169.04,13.61
